REGION,TECHNOLOGY,YEAR,VALUE
Greece,Ag_Dimitriou_I,2023,0.274
Greece,Ag_Dimitriou_I,2025,0
Greece,Ag_Dimitriou_I,2030,0
Greece,Ag_Dimitriou_I,2035,0
Greece,Ag_Dimitriou_I,2040,0
Greece,Ag_Dimitriou_I,2045,0
Greece,Ag_Dimitriou_I,2050,0
Greece,Ag_Dimitriou_II,2023,0.274
Greece,Ag_Dimitriou_II,2025,0
Greece,Ag_Dimitriou_II,2030,0
Greece,Ag_Dimitriou_II,2035,0
Greece,Ag_Dimitriou_II,2040,0
Greece,Ag_Dimitriou_II,2045,0
Greece,Ag_Dimitriou_II,2050,0
Greece,Ag_Dimitriou_III,2023,0.283
Greece,Ag_Dimitriou_III,2025,0
Greece,Ag_Dimitriou_III,2030,0
Greece,Ag_Dimitriou_III,2035,0
Greece,Ag_Dimitriou_III,2040,0
Greece,Ag_Dimitriou_III,2045,0
Greece,Ag_Dimitriou_III,2050,0
Greece,Ag_Dimitriou_IV,2023,0.283
Greece,Ag_Dimitriou_IV,2025,0
Greece,Ag_Dimitriou_IV,2030,0
Greece,Ag_Dimitriou_IV,2035,0
Greece,Ag_Dimitriou_IV,2040,0
Greece,Ag_Dimitriou_IV,2045,0
Greece,Ag_Dimitriou_IV,2050,0
Greece,Ag_Dimitriou_V,2023,0.342
Greece,Ag_Dimitriou_V,2025,0
Greece,Ag_Dimitriou_V,2030,0
Greece,Ag_Dimitriou_V,2035,0
Greece,Ag_Dimitriou_V,2040,0
Greece,Ag_Dimitriou_V,2045,0
Greece,Ag_Dimitriou_V,2050,0
Greece,Agra,2023,0.05
Greece,Agra,2025,0.05
Greece,Agra,2030,0.05
Greece,Agra,2035,0.05
Greece,Agra,2040,0.05
Greece,Agra,2045,0.05
Greece,Agra,2050,0.05
Greece,AIS_Aliveriou,2023,0.417
Greece,AIS_Aliveriou,2025,0.417
Greece,AIS_Aliveriou,2030,0.417
Greece,AIS_Aliveriou,2035,0.417
Greece,AIS_Aliveriou,2040,0.417
Greece,AIS_Aliveriou,2045,0
Greece,AIS_Aliveriou,2050,0
Greece,AIS_Komotinis,2023,0.4763
Greece,AIS_Komotinis,2025,0.4763
Greece,AIS_Komotinis,2030,0.4763
Greece,AIS_Komotinis,2035,0
Greece,AIS_Komotinis,2040,0
Greece,AIS_Komotinis,2045,0
Greece,AIS_Komotinis,2050,0
Greece,AIS_Lavriou_IV,2023,0.5502
Greece,AIS_Lavriou_IV,2025,0.5502
Greece,AIS_Lavriou_IV,2030,0.5502
Greece,AIS_Lavriou_IV,2035,0
Greece,AIS_Lavriou_IV,2040,0
Greece,AIS_Lavriou_IV,2045,0
Greece,AIS_Lavriou_IV,2050,0
Greece,AIS_Lavriou_V,2023,0.37766
Greece,AIS_Lavriou_V,2025,0.37766
Greece,AIS_Lavriou_V,2030,0.37766
Greece,AIS_Lavriou_V,2035,0.37766
Greece,AIS_Lavriou_V,2040,0
Greece,AIS_Lavriou_V,2045,0
Greece,AIS_Lavriou_V,2050,0
Greece,AIS_Megalopoli_V,2023,0.811
Greece,AIS_Megalopoli_V,2025,0.811
Greece,AIS_Megalopoli_V,2030,0.811
Greece,AIS_Megalopoli_V,2035,0.811
Greece,AIS_Megalopoli_V,2040,0.811
Greece,AIS_Megalopoli_V,2045,0.811
Greece,AIS_Megalopoli_V,2050,0
Greece,Alouminion,2023,0.334
Greece,Alouminion,2025,0.334
Greece,Alouminion,2030,0.334
Greece,Alouminion,2035,0.334
Greece,Alouminion,2040,0
Greece,Alouminion,2045,0
Greece,Alouminion,2050,0
Greece,Asomaton,2023,0.108
Greece,Asomaton,2025,0.108
Greece,Asomaton,2030,0.108
Greece,Asomaton,2035,0.108
Greece,Asomaton,2040,0.108
Greece,Asomaton,2045,0.108
Greece,Asomaton,2050,0.108
Crete,Atherinolakos,2023,0.195
Crete,Atherinolakos,2025,0.195
Crete,Atherinolakos,2030,0.195
Crete,Atherinolakos,2035,0.195
Crete,Atherinolakos,2040,0.195
Crete,Atherinolakos,2045,0.195
Crete,Atherinolakos,2050,0.195
Crete,Atherinolakos_Diesel,2023,0.02558
Crete,Atherinolakos_Diesel,2025,0.02558
Crete,Atherinolakos_Diesel,2030,0.02558
Crete,Atherinolakos_Diesel,2035,0.02558
Crete,Atherinolakos_Diesel,2040,0.02558
Crete,Atherinolakos_Diesel,2045,0.02558
Crete,Atherinolakos_Diesel,2050,0.02558
Greece,Batteries,2023,0.7
Greece,Batteries,2025,0.7
Greece,Batteries,2030,0.7
Greece,Batteries,2035,0.7
Greece,Batteries,2040,0.7
Greece,Batteries,2045,0.7
Greece,Batteries,2050,0.7
Greece,Batteries_New,2023,0
Greece,Batteries_New,2025,0
Greece,Batteries_New,2030,0
Greece,Batteries_New,2035,0
Greece,Batteries_New,2040,0
Greece,Batteries_New,2045,0
Greece,Batteries_New,2050,0
Greece,Biomass,2023,0
Greece,Biomass,2025,0
Greece,Biomass,2030,0
Greece,Biomass,2035,0
Greece,Biomass,2040,0
Greece,Biomass,2045,0
Greece,Biomass,2050,0
Greece,Biomass_Ex,2023,0.113
Greece,Biomass_Ex,2025,0.113
Greece,Biomass_Ex,2030,0.113
Greece,Biomass_Ex,2035,0.113
Greece,Biomass_Ex,2040,0.113
Greece,Biomass_Ex,2045,0.113
Greece,Biomass_Ex,2050,0.113
Greece,CCGT,2023,0
Greece,CCGT,2025,0
Greece,CCGT,2030,0
Greece,CCGT,2035,0
Greece,CCGT,2040,0
Greece,CCGT,2045,0
Greece,CCGT,2050,0
Greece,Chios,2023,0.078
Greece,Chios,2025,0.078
Greece,Chios,2030,0.078
Greece,Chios,2035,0
Greece,Chios,2040,0
Greece,Chios,2045,0
Greece,Chios,2050,0
Greece,Edeseou,2023,0.019
Greece,Edeseou,2025,0.019
Greece,Edeseou,2030,0.019
Greece,Edeseou,2035,0.019
Greece,Edeseou,2040,0.019
Greece,Edeseou,2045,0.019
Greece,Edeseou,2050,0.019
Greece,Elec_Network,2023,30
