REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Greece,Ag_Dimitriou_I,CO2,1,2023,0.271058562
Greece,Ag_Dimitriou_I,CO2,1,2025,0.271058562
Greece,Ag_Dimitriou_I,CO2,1,2030,0.271058562
Greece,Ag_Dimitriou_I,CO2,1,2035,0.271058562
Greece,Ag_Dimitriou_I,CO2,1,2040,0.271058562
Greece,Ag_Dimitriou_I,CO2,1,2045,0.271058562
Greece,Ag_Dimitriou_I,CO2,1,2050,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2023,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2025,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2030,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2035,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2040,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2045,0.271058562
Greece,Ag_Dimitriou_II,CO2,1,2050,0.271058562
Greece,Ag_Dimitriou_III,CO2,1,2023,0.26594425
Greece,Ag_Dimitriou_III,CO2,1,2025,0.26594425
Greece,Ag_Dimitriou_III,CO2,1,2030,0.26594425
Greece,Ag_Dimitriou_III,CO2,1,2035,0.26594425
Greece,Ag_Dimitriou_III,CO2,1,2040,0.26594425
Greece,Ag_Dimitriou_III,CO2,1,2045,0.26594425
Greece,Ag_Dimitriou_III,CO2,1,2050,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2023,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2025,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2030,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2035,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2040,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2045,0.26594425
Greece,Ag_Dimitriou_IV,CO2,1,2050,0.26594425
Greece,Ag_Dimitriou_V,CO2,1,2023,0.245487
Greece,Ag_Dimitriou_V,CO2,1,2025,0.245487
Greece,Ag_Dimitriou_V,CO2,1,2030,0.245487
Greece,Ag_Dimitriou_V,CO2,1,2035,0.245487
Greece,Ag_Dimitriou_V,CO2,1,2040,0.245487
Greece,Ag_Dimitriou_V,CO2,1,2045,0.245487
Greece,Ag_Dimitriou_V,CO2,1,2050,0.245487
Greece,AIS_Aliveriou,CO2,1,2023,0.095153753
Greece,AIS_Aliveriou,CO2,1,2025,0.095153753
Greece,AIS_Aliveriou,CO2,1,2030,0.095153753
Greece,AIS_Aliveriou,CO2,1,2035,0.095153753
Greece,AIS_Aliveriou,CO2,1,2040,0.095153753
Greece,AIS_Aliveriou,CO2,1,2045,0.095153753
Greece,AIS_Aliveriou,CO2,1,2050,0.095153753
Greece,AIS_Komotinis,CO2,1,2023,0.104960259
Greece,AIS_Komotinis,CO2,1,2025,0.104960259
Greece,AIS_Komotinis,CO2,1,2030,0.104960259
Greece,AIS_Komotinis,CO2,1,2035,0.104960259
Greece,AIS_Komotinis,CO2,1,2040,0.104960259
Greece,AIS_Komotinis,CO2,1,2045,0.104960259
Greece,AIS_Komotinis,CO2,1,2050,0.104960259
Greece,AIS_Lavriou_IV,CO2,1,2023,0.108790926
Greece,AIS_Lavriou_IV,CO2,1,2025,0.108790926
Greece,AIS_Lavriou_IV,CO2,1,2030,0.108790926
Greece,AIS_Lavriou_IV,CO2,1,2035,0.108790926
Greece,AIS_Lavriou_IV,CO2,1,2040,0.108790926
Greece,AIS_Lavriou_IV,CO2,1,2045,0.108790926
Greece,AIS_Lavriou_IV,CO2,1,2050,0.108790926
Greece,AIS_Lavriou_V,CO2,1,2023,0.095153753
Greece,AIS_Lavriou_V,CO2,1,2025,0.095153753
Greece,AIS_Lavriou_V,CO2,1,2030,0.095153753
Greece,AIS_Lavriou_V,CO2,1,2035,0.095153753
Greece,AIS_Lavriou_V,CO2,1,2040,0.095153753
Greece,AIS_Lavriou_V,CO2,1,2045,0.095153753
Greece,AIS_Lavriou_V,CO2,1,2050,0.095153753
Greece,AIS_Megalopoli_V,CO2,1,2023,0.0897
Greece,AIS_Megalopoli_V,CO2,1,2025,0.0897
Greece,AIS_Megalopoli_V,CO2,1,2030,0.0897
Greece,AIS_Megalopoli_V,CO2,1,2035,0.0897
Greece,AIS_Megalopoli_V,CO2,1,2040,0.0897
Greece,AIS_Megalopoli_V,CO2,1,2045,0.0897
Greece,AIS_Megalopoli_V,CO2,1,2050,0.0897
Greece,Alouminion,CO2,1,2023,0.095153753
Greece,Alouminion,CO2,1,2025,0.095153753
Greece,Alouminion,CO2,1,2030,0.095153753
Greece,Alouminion,CO2,1,2035,0.095153753
Greece,Alouminion,CO2,1,2040,0.095153753
Greece,Alouminion,CO2,1,2045,0.095153753
Greece,Alouminion,CO2,1,2050,0.095153753
Crete,Atherinolakos,CO2,1,2023,0.15717536
Crete,Atherinolakos,CO2,1,2025,0.15717536
Crete,Atherinolakos,CO2,1,2030,0.15717536
Crete,Atherinolakos,CO2,1,2035,0.15717536
Crete,Atherinolakos,CO2,1,2040,0.15717536
Crete,Atherinolakos,CO2,1,2045,0.15717536
Crete,Atherinolakos,CO2,1,2050,0.15717536
Crete,Atherinolakos_Diesel,CO2,1,2023,0.189724197
Crete,Atherinolakos_Diesel,CO2,1,2025,0.189724197
Crete,Atherinolakos_Diesel,CO2,1,2030,0.189724197
Crete,Atherinolakos_Diesel,CO2,1,2035,0.189724197
Crete,Atherinolakos_Diesel,CO2,1,2040,0.189724197
Crete,Atherinolakos_Diesel,CO2,1,2045,0.189724197
Crete,Atherinolakos_Diesel,CO2,1,2050,0.189724197
Greece,Biomass_CCS,CO2,1,2023,-0.2812
Greece,Biomass_CCS,CO2,1,2025,-0.2812
Greece,Biomass_CCS,CO2,1,2030,-0.2812
Greece,Biomass_CCS,CO2,1,2035,-0.2812
Greece,Biomass_CCS,CO2,1,2040,-0.2812
Greece,Biomass_CCS,CO2,1,2045,-0.2812
Greece,Biomass_CCS,CO2,1,2050,-0.2812
Greece,CCGT,CO2,1,2023,0.095153753
Greece,CCGT,CO2,1,2025,0.095153753
Greece,CCGT,CO2,1,2030,0.095153753
Greece,CCGT,CO2,1,2035,0.095153753
Greece,CCGT,CO2,1,2040,0.095153753
Greece,CCGT,CO2,1,2045,0.095153753
Greece,CCGT,CO2,1,2050,0.095153753
Greece,Chios,CO2,1,2023,0.15717536
Greece,Chios,CO2,1,2025,0.15717536
Greece,Chios,CO2,1,2030,0.15717536
Greece,Chios,CO2,1,2035,0.15717536
Greece,Chios,CO2,1,2040,0.15717536
Greece,Chios,CO2,1,2045,0.15717536
Greece,Chios,CO2,1,2050,0.15717536
Greece,ELPEDISON,CO2,1,2023,0.095153753
Greece,ELPEDISON,CO2,1,2025,0.095153753
Greece,ELPEDISON,CO2,1,2030,0.095153753
Greece,ELPEDISON,CO2,1,2035,0.095153753
Greece,ELPEDISON,CO2,1,2040,0.095153753
Greece,ELPEDISON,CO2,1,2045,0.095153753
Greece,ELPEDISON,CO2,1,2050,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2023,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2025,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2030,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2035,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2040,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2045,0.095153753
Greece,Energ_Thesalonikis,CO2,1,2050,0.095153753
Greece,Gas_CCS,CO2,1,2023,0.0102
Greece,Gas_CCS,CO2,1,2025,0.0102
Greece,Gas_CCS,CO2,1,2030,0.0102
Greece,Gas_CCS,CO2,1,2035,0.0102
Greece,Gas_CCS,CO2,1,2040,0.0102
Greece,Gas_CCS,CO2,1,2045,0.0102
Greece,Gas_CCS,CO2,1,2050,0.0102
Greece,Geothermal_HI,CO2,1,2023,0.138888885
Greece,Geothermal_HI,CO2,1,2025,0.138888885
Greece,Geothermal_HI,CO2,1,2030,0.138888885
Greece,Geothermal_HI,CO2,1,2035,0.138888885
Greece,Geothermal_HI,CO2,1,2040,0.138888885
Greece,Geothermal_HI,CO2,1,2045,0.138888885
Greece,Geothermal_HI,CO2,1,2050,0.138888885
Greece,Geothermal_ME,CO2,1,2023,0.138888885
Greece,Geothermal_ME,CO2,1,2025,0.138888885
Greece,Geothermal_ME,CO2,1,2030,0.138888885
Greece,Geothermal_ME,CO2,1,2035,0.138888885
Greece,Geothermal_ME,CO2,1,2040,0.138888885
Greece,Geothermal_ME,CO2,1,2045,0.138888885
Greece,Geothermal_ME,CO2,1,2050,0.138888885
Greece,Iron_I,CO2,1,2023,0.139575554
Greece,Iron_I,CO2,1,2025,0.139575554
Greece,Iron_I,CO2,1,2030,0.139575554
Greece,Iron_I,CO2,1,2035,0.139575554
Greece,Iron_I,CO2,1,2040,0.139575554
Greece,Iron_I,CO2,1,2045,0.139575554
Greece,Iron_I,CO2,1,2050,0.139575554
Greece,Iron_II,CO2,1,2023,0.139575554
Greece,Iron_II,CO2,1,2025,0.139575554
Greece,Iron_II,CO2,1,2030,0.139575554
Greece,Iron_II,CO2,1,2035,0.139575554
Greece,Iron_II,CO2,1,2040,0.139575554
Greece,Iron_II,CO2,1,2045,0.139575554
Greece,Iron_II,CO2,1,2050,0.139575554
Greece,Iron_III,CO2,1,2023,0.139575554
Greece,Iron_III,CO2,1,2025,0.139575554
Greece,Iron_III,CO2,1,2030,0.139575554
Greece,Iron_III,CO2,1,2035,0.139575554
Greece,Iron_III,CO2,1,2040,0.139575554
Greece,Iron_III,CO2,1,2045,0.139575554
Greece,Iron_III,CO2,1,2050,0.139575554
Greece,IronII_CCGT,CO2,1,2023,0.0895
Greece,IronII_CCGT,CO2,1,2025,0.0895
Greece,IronII_CCGT,CO2,1,2030,0.0895
Greece,IronII_CCGT,CO2,1,2035,0.0895
Greece,IronII_CCGT,CO2,1,2040,0.0895
Greece,IronII_CCGT,CO2,1,2045,0.0895
Greece,IronII_CCGT,CO2,1,2050,0.0895
Greece,Karpathos,CO2,1,2023,0.192411146
Greece,Karpathos,CO2,1,2025,0.192411146
Greece,Karpathos,CO2,1,2030,0.192411146
Greece,Karpathos,CO2,1,2035,0.192411146
Greece,Karpathos,CO2,1,2040,0.192411146
Greece,Karpathos,CO2,1,2045,0.192411146
Greece,Karpathos,CO2,1,2050,0.192411146
Greece,KORINTHOS_POWER,CO2,1,2023,0.095153753
Greece,KORINTHOS_POWER,CO2,1,2025,0.095153753
Greece,KORINTHOS_POWER,CO2,1,2030,0.095153753
Greece,KORINTHOS_POWER,CO2,1,2035,0.095153753
Greece,KORINTHOS_POWER,CO2,1,2040,0.095153753
Greece,KORINTHOS_POWER,CO2,1,2045,0.095153753
Greece,KORINTHOS_POWER,CO2,1,2050,0.095153753
Greece,Kos_Kalymnos,CO2,1,2023,0.15717536
Greece,Kos_Kalymnos,CO2,1,2025,0.15717536
Greece,Kos_Kalymnos,CO2,1,2030,0.15717536
Greece,Kos_Kalymnos,CO2,1,2035,0.15717536
Greece,Kos_Kalymnos,CO2,1,2040,0.15717536
Greece,Kos_Kalymnos,CO2,1,2045,0.15717536
Greece,Kos_Kalymnos,CO2,1,2050,0.15717536
Greece,Lemnos,CO2,1,2023,0.192411146
Greece,Lemnos,CO2,1,2025,0.192411146
Greece,Lemnos,CO2,1,2030,0.192411146
Greece,Lemnos,CO2,1,2035,0.192411146
Greece,Lemnos,CO2,1,2040,0.192411146
Greece,Lemnos,CO2,1,2045,0.192411146
Greece,Lemnos,CO2,1,2050,0.192411146
Greece,Lesvos,CO2,1,2023,0.15717536
Greece,Lesvos,CO2,1,2025,0.15717536
Greece,Lesvos,CO2,1,2030,0.15717536
Greece,Lesvos,CO2,1,2035,0.15717536
Greece,Lesvos,CO2,1,2040,0.15717536
Greece,Lesvos,CO2,1,2045,0.15717536
Greece,Lesvos,CO2,1,2050,0.15717536
Crete,Linoperamata,CO2,1,2023,0.15717536
Crete,Linoperamata,CO2,1,2025,0.15717536
Crete,Linoperamata,CO2,1,2030,0.15717536
Crete,Linoperamata,CO2,1,2035,0.15717536
Crete,Linoperamata,CO2,1,2040,0.15717536
Crete,Linoperamata,CO2,1,2045,0.15717536
Crete,Linoperamata,CO2,1,2050,0.15717536
Greece,Megalopolis_III,CO2,1,2023,0.276172875
Greece,Megalopolis_III,CO2,1,2025,0.276172875
Greece,Megalopolis_III,CO2,1,2030,0.276172875
Greece,Megalopolis_III,CO2,1,2035,0.276172875
Greece,Megalopolis_III,CO2,1,2040,0.276172875
Greece,Megalopolis_III,CO2,1,2045,0.276172875
Greece,Megalopolis_III,CO2,1,2050,0.276172875
Greece,Megalopolis_IV,CO2,1,2023,0.278730031
Greece,Megalopolis_IV,CO2,1,2025,0.278730031
Greece,Megalopolis_IV,CO2,1,2030,0.278730031
Greece,Megalopolis_IV,CO2,1,2035,0.278730031
Greece,Megalopolis_IV,CO2,1,2040,0.278730031
Greece,Megalopolis_IV,CO2,1,2045,0.278730031
Greece,Megalopolis_IV,CO2,1,2050,0.278730031
Greece,Melitis_I,CO2,1,2023,0.227586906
Greece,Melitis_I,CO2,1,2025,0.227586906
Greece,Melitis_I,CO2,1,2030,0.227586906
Greece,Melitis_I,CO2,1,2035,0.227586906
Greece,Melitis_I,CO2,1,2040,0.227586906
Greece,Melitis_I,CO2,1,2045,0.227586906
Greece,Melitis_I,CO2,1,2050,0.227586906
Greece,OCGT,CO2,1,2023,0.139575554
Greece,OCGT,CO2,1,2025,0.139575554
Greece,OCGT,CO2,1,2030,0.139575554
Greece,OCGT,CO2,1,2035,0.139575554
Greece,OCGT,CO2,1,2040,0.139575554
Greece,OCGT,CO2,1,2045,0.139575554
Greece,OCGT,CO2,1,2050,0.139575554
Greece,Other_Aegean,CO2,1,2023,0.192411146
Greece,Other_Aegean,CO2,1,2025,0.192411146
Greece,Other_Aegean,CO2,1,2030,0.192411146
Greece,Other_Aegean,CO2,1,2035,0.192411146
Greece,Other_Aegean,CO2,1,2040,0.192411146
Greece,Other_Aegean,CO2,1,2045,0.192411146
Greece,Other_Aegean,CO2,1,2050,0.192411146
Greece,Other_Cyclades,CO2,1,2023,0.192411146
Greece,Other_Cyclades,CO2,1,2025,0.192411146
Greece,Other_Cyclades,CO2,1,2030,0.192411146
Greece,Other_Cyclades,CO2,1,2035,0.192411146
Greece,Other_Cyclades,CO2,1,2040,0.192411146
Greece,Other_Cyclades,CO2,1,2045,0.192411146
Greece,Other_Cyclades,CO2,1,2050,0.192411146
Greece,PROTERGIA_CC,CO2,1,2023,0.095153753
Greece,PROTERGIA_CC,CO2,1,2025,0.095153753
Greece,PROTERGIA_CC,CO2,1,2030,0.095153753
Greece,PROTERGIA_CC,CO2,1,2035,0.095153753
Greece,PROTERGIA_CC,CO2,1,2040,0.095153753
Greece,PROTERGIA_CC,CO2,1,2045,0.095153753
Greece,PROTERGIA_CC,CO2,1,2050,0.095153753
Greece,Ptolemaidas_V,CO2,1,2023,0.221705447
Greece,Ptolemaidas_V,CO2,1,2025,0.221705447
Greece,Ptolemaidas_V,CO2,1,2030,0.221705447
Greece,Ptolemaidas_V,CO2,1,2035,0.221705447
Greece,Ptolemaidas_V,CO2,1,2040,0.221705447
Greece,Ptolemaidas_V,CO2,1,2045,0.221705447
Greece,Ptolemaidas_V,CO2,1,2050,0.221705447
Greece,Rodos,CO2,1,2023,0.15717536
Greece,Rodos,CO2,1,2025,0.15717536
Greece,Rodos,CO2,1,2030,0.15717536
Greece,Rodos,CO2,1,2035,0.15717536
Greece,Rodos,CO2,1,2040,0.15717536
Greece,Rodos,CO2,1,2045,0.15717536
Greece,Rodos,CO2,1,2050,0.15717536
Greece,Samos,CO2,1,2023,0.192411146
Greece,Samos,CO2,1,2025,0.192411146
Greece,Samos,CO2,1,2030,0.192411146
Greece,Samos,CO2,1,2035,0.192411146
Greece,Samos,CO2,1,2040,0.192411146
Greece,Samos,CO2,1,2045,0.192411146
Greece,Samos,CO2,1,2050,0.192411146
Greece,Thira,CO2,1,2023,0.15717536
Greece,Thira,CO2,1,2025,0.15717536
Greece,Thira,CO2,1,2030,0.15717536
Greece,Thira,CO2,1,2035,0.15717536
Greece,Thira,CO2,1,2040,0.15717536
Greece,Thira,CO2,1,2045,0.15717536
Greece,Thira,CO2,1,2050,0.15717536
Greece,THIS_Ag.Nikolaos,CO2,1,2023,0.0796
Greece,THIS_Ag.Nikolaos,CO2,1,2025,0.0796
Greece,THIS_Ag.Nikolaos,CO2,1,2030,0.0796
Greece,THIS_Ag.Nikolaos,CO2,1,2035,0.0796
Greece,THIS_Ag.Nikolaos,CO2,1,2040,0.0796
Greece,THIS_Ag.Nikolaos,CO2,1,2045,0.0796
Greece,THIS_Ag.Nikolaos,CO2,1,2050,0.0796
Crete,Xilokamara,CO2,1,2023,0.154980465
Crete,Xilokamara,CO2,1,2025,0.154980465
Crete,Xilokamara,CO2,1,2030,0.154980465
Crete,Xilokamara,CO2,1,2035,0.154980465
Crete,Xilokamara,CO2,1,2040,0.154980465
Crete,Xilokamara,CO2,1,2045,0.154980465
Crete,Xilokamara,CO2,1,2050,0.154980465
