REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
EL53,Ag_Dimitriou_I,GRLignite,1,2023,2.94
EL53,Ag_Dimitriou_I,GRLignite,1,2025,2.94
EL53,Ag_Dimitriou_I,GRLignite,1,2030,2.94
EL53,Ag_Dimitriou_I,GRLignite,1,2035,2.94
EL53,Ag_Dimitriou_I,GRLignite,1,2040,2.94
EL53,Ag_Dimitriou_I,GRLignite,1,2045,2.94
EL53,Ag_Dimitriou_I,GRLignite,1,2050,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2023,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2025,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2030,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2035,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2040,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2045,2.94
EL53,Ag_Dimitriou_II,GRLignite,1,2050,2.94
EL53,Ag_Dimitriou_III,GRLignite,1,2023,2.89
EL53,Ag_Dimitriou_III,GRLignite,1,2025,2.89
EL53,Ag_Dimitriou_III,GRLignite,1,2030,2.89
EL53,Ag_Dimitriou_III,GRLignite,1,2035,2.89
EL53,Ag_Dimitriou_III,GRLignite,1,2040,2.89
EL53,Ag_Dimitriou_III,GRLignite,1,2045,2.89
EL53,Ag_Dimitriou_III,GRLignite,1,2050,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2023,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2025,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2030,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2035,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2040,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2045,2.89
EL53,Ag_Dimitriou_IV,GRLignite,1,2050,2.89
EL53,Ag_Dimitriou_V,GRLignite,1,2023,2.67
EL53,Ag_Dimitriou_V,GRLignite,1,2025,2.67
EL53,Ag_Dimitriou_V,GRLignite,1,2030,2.67
EL53,Ag_Dimitriou_V,GRLignite,1,2035,2.67
EL53,Ag_Dimitriou_V,GRLignite,1,2040,2.67
EL53,Ag_Dimitriou_V,GRLignite,1,2045,2.67
EL53,Ag_Dimitriou_V,GRLignite,1,2050,2.67
EL64,AIS_Aliveriou,GRGas,1,2023,1.9
EL64,AIS_Aliveriou,GRGas,1,2025,1.9
EL64,AIS_Aliveriou,GRGas,1,2030,1.9
EL64,AIS_Aliveriou,GRGas,1,2035,1.9
EL64,AIS_Aliveriou,GRGas,1,2040,1.9
EL64,AIS_Aliveriou,GRGas,1,2045,1.9
EL64,AIS_Aliveriou,GRGas,1,2050,1.9
EL51,AIS_Komotinis,GRGas,1,2023,2.09
EL51,AIS_Komotinis,GRGas,1,2025,2.09
EL51,AIS_Komotinis,GRGas,1,2030,2.09
EL51,AIS_Komotinis,GRGas,1,2035,2.09
