REGION,TECHNOLOGY,YEAR,VALUE
EL53,Ag_Dimitriou_I,2023,0
EL53,Ag_Dimitriou_I,2025,0
EL53,Ag_Dimitriou_I,2030,0
EL53,Ag_Dimitriou_I,2035,0
EL53,Ag_Dimitriou_I,2040,0
EL53,Ag_Dimitriou_I,2045,0
EL53,Ag_Dimitriou_I,2050,0
EL53,Ag_Dimitriou_II,2023,0
EL53,Ag_Dimitriou_II,2025,0
EL53,Ag_Dimitriou_II,2030,0
EL53,Ag_Dimitriou_II,2035,0
EL53,Ag_Dimitriou_II,2040,0
EL53,Ag_Dimitriou_II,2045,0
EL53,Ag_Dimitriou_II,2050,0
EL53,Ag_Dimitriou_III,2023,0
EL53,Ag_Dimitriou_III,2025,0
EL53,Ag_Dimitriou_III,2030,0
EL53,Ag_Dimitriou_III,2035,0
EL53,Ag_Dimitriou_III,2040,0
EL53,Ag_Dimitriou_III,2045,0
EL53,Ag_Dimitriou_III,2050,0
EL53,Ag_Dimitriou_IV,2023,0
EL53,Ag_Dimitriou_IV,2025,0
EL53,Ag_Dimitriou_IV,2030,0
EL53,Ag_Dimitriou_IV,2035,0
EL53,Ag_Dimitriou_IV,2040,0
EL53,Ag_Dimitriou_IV,2045,0
EL53,Ag_Dimitriou_IV,2050,0
EL53,Ag_Dimitriou_V,2023,0
EL53,Ag_Dimitriou_V,2025,0
EL53,Ag_Dimitriou_V,2030,0
EL53,Ag_Dimitriou_V,2035,0
EL53,Ag_Dimitriou_V,2040,0
EL53,Ag_Dimitriou_V,2045,0
EL53,Ag_Dimitriou_V,2050,0
EL52,Agra,2023,0
EL52,Agra,2025,0
EL52,Agra,2030,0
EL52,Agra,2035,0
EL52,Agra,2040,0
EL52,Agra,2045,0
EL52,Agra,2050,0
EL64,AIS_Aliveriou,2023,0
EL64,AIS_Aliveriou,2025,0
EL64,AIS_Aliveriou,2030,0
EL64,AIS_Aliveriou,2035,0
EL64,AIS_Aliveriou,2040,0
EL64,AIS_Aliveriou,2045,0
EL64,AIS_Aliveriou,2050,0
EL51,AIS_Komotinis,2023,0
EL51,AIS_Komotinis,2025,0
EL51,AIS_Komotinis,2030,0
EL51,AIS_Komotinis,2035,0
EL51,AIS_Komotinis,2040,0
EL51,AIS_Komotinis,2045,0
EL51,AIS_Komotinis,2050,0
EL30,AIS_Lavriou_IV,2023,0
EL30,AIS_Lavriou_IV,2025,0
EL30,AIS_Lavriou_IV,2030,0
EL30,AIS_Lavriou_IV,2035,0
EL30,AIS_Lavriou_IV,2040,0
EL30,AIS_Lavriou_IV,2045,0
EL30,AIS_Lavriou_IV,2050,0
EL64,AIS_Lavriou_V,2023,0
EL64,AIS_Lavriou_V,2025,0
EL64,AIS_Lavriou_V,2030,0
EL64,AIS_Lavriou_V,2035,0
EL64,AIS_Lavriou_V,2040,0
EL64,AIS_Lavriou_V,2045,0
EL64,AIS_Lavriou_V,2050,0
EL65,AIS_Megalopoli_V,2023,0
EL65,AIS_Megalopoli_V,2025,0
EL65,AIS_Megalopoli_V,2030,0
EL65,AIS_Megalopoli_V,2035,0
EL65,AIS_Megalopoli_V,2040,0
EL65,AIS_Megalopoli_V,2045,0
EL65,AIS_Megalopoli_V,2050,0
EL64,Alouminion,2023,0
EL64,Alouminion,2025,0
EL64,Alouminion,2030,0
EL64,Alouminion,2035,0
EL64,Alouminion,2040,0
EL64,Alouminion,2045,0
EL64,Alouminion,2050,0
EL52,Asomaton,2023,0
EL52,Asomaton,2025,0
EL52,Asomaton,2030,0
EL52,Asomaton,2035,0
EL52,Asomaton,2040,0
EL52,Asomaton,2045,0
EL52,Asomaton,2050,0
Crete,Atherinolakos,2023,0
Crete,Atherinolakos,2025,0
Crete,Atherinolakos,2030,0
Crete,Atherinolakos,2035,0
Crete,Atherinolakos,2040,0
Crete,Atherinolakos,2045,0
Crete,Atherinolakos,2050,0
Crete,Atherinolakos_Diesel,2023,0
Crete,Atherinolakos_Diesel,2025,0
Crete,Atherinolakos_Diesel,2030,0
Crete,Atherinolakos_Diesel,2035,0
Crete,Atherinolakos_Diesel,2040,0
Crete,Atherinolakos_Diesel,2045,0
Crete,Atherinolakos_Diesel,2050,0
EL51,Biomass,2023,0
EL52,Biomass,2023,0
EL53,Biomass,2023,0
EL54,Biomass,2023,0
EL61,Biomass,2023,0
EL62,Biomass,2023,0
EL63,Biomass,2023,0
EL64,Biomass,2023,0
EL30,Biomass,2023,0
EL65,Biomass,2023,0
EL51,Biomass_Ex,2023,0
EL51,Biomass_Ex,2025,0
EL51,Biomass_Ex,2030,0
EL51,Biomass_Ex,2035,0
EL51,Biomass_Ex,2040,0
EL51,Biomass_Ex,2045,0
EL51,Biomass_Ex,2050,0
EL52,Biomass_Ex,2023,0
EL52,Biomass_Ex,2025,0
EL52,Biomass_Ex,2030,0
EL52,Biomass_Ex,2035,0
EL52,Biomass_Ex,2040,0
EL52,Biomass_Ex,2045,0
EL52,Biomass_Ex,2050,0
EL53,Biomass_Ex,2023,0
EL53,Biomass_Ex,2025,0
EL53,Biomass_Ex,2030,0
EL53,Biomass_Ex,2035,0
EL53,Biomass_Ex,2040,0
EL53,Biomass_Ex,2045,0
EL53,Biomass_Ex,2050,0
EL54,Biomass_Ex,2023,0
EL54,Biomass_Ex,2025,0
EL54,Biomass_Ex,2030,0
EL54,Biomass_Ex,2035,0
EL54,Biomass_Ex,2040,0
EL54,Biomass_Ex,2045,0
EL54,Biomass_Ex,2050,0
EL61,Biomass_Ex,2023,0
EL61,Biomass_Ex,2025,0
EL61,Biomass_Ex,2030,0
EL61,Biomass_Ex,2035,0
EL61,Biomass_Ex,2040,0
EL61,Biomass_Ex,2045,0
EL61,Biomass_Ex,2050,0
EL62,Biomass_Ex,2023,0
EL62,Biomass_Ex,2025,0
EL62,Biomass_Ex,2030,0
EL62,Biomass_Ex,2035,0
EL62,Biomass_Ex,2040,0
EL62,Biomass_Ex,2045,0
EL62,Biomass_Ex,2050,0
EL63,Biomass_Ex,2023,0
EL63,Biomass_Ex,2025,0
EL63,Biomass_Ex,2030,0
EL63,Biomass_Ex,2035,0
EL63,Biomass_Ex,2040,0
EL63,Biomass_Ex,2045,0
EL63,Biomass_Ex,2050,0
EL64,Biomass_Ex,2023,0
EL64,Biomass_Ex,2025,0
EL64,Biomass_Ex,2030,0
EL64,Biomass_Ex,2035,0
EL64,Biomass_Ex,2040,0
EL64,Biomass_Ex,2045,0
EL64,Biomass_Ex,2050,0
EL30,Biomass_Ex,2023,0
EL30,Biomass_Ex,2025,0
EL30,Biomass_Ex,2030,0
EL30,Biomass_Ex,2035,0
EL30,Biomass_Ex,2040,0
EL30,Biomass_Ex,2045,0
EL30,Biomass_Ex,2050,0
EL65,Biomass_Ex,2023,0
EL65,Biomass_Ex,2025,0
EL65,Biomass_Ex,2030,0
EL65,Biomass_Ex,2035,0
EL65,Biomass_Ex,2040,0
EL65,Biomass_Ex,2045,0
EL65,Biomass_Ex,2050,0
CHIOS,Chios,2023,0
CHIOS,Chios,2025,0
